"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_login","","","","test_positiveLogin_validaCreds",""
"passed","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_dataHandling","","","","test_csvFileHandling",""
"passed","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","1","tests","test_dataHandling","","","","test_sum[2-3-5]",""
"passed","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","1","tests","test_dataHandling","","","","test_csvFileHandlingWriting",""
"passed","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","1","tests","test_dataHandling","","","","test_cli",""
"broken","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_results","","","","test_validate_the_add_to_cart",""
"broken","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_home","","","","test_validate_the_home_page_title",""
"broken","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","30","tests","test_dataHandling","","","","test_excelhandling",""
"broken","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_home","","","","test_validating_the_home_screen_elements",""
"passed","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_dataHandling","","","","test_sum[3-4-7]",""
"passed","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","47","tests","test_dataHandling","","","","test_excelhandling_write",""
"broken","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_home","","","","test_validate_search_box_accepts_input",""
"broken","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_results","","","","test_validate_the_navigation_to_results_page",""
"broken","Fri Jul 24 13:51:10 UTC 2026","Fri Jul 24 13:51:10 UTC 2026","0","tests","test_dataHandling","","","","test_jsonFileHandling",""
